	n_pathways
ENSG00000122565	14
ENSG00000180104	11
ENSG00000170296	6
ENSG00000063244	17
ENSG00000104147	4
ENSG00000138435	8
ENSG00000120699	21
ENSG00000074416	21
ENSG00000247596	4
ENSG00000034713	6
ENSG00000142920	4
ENSG00000075886	90
ENSG00000120903	8
ENSG00000080644	9
ENSG00000155016	13
ENSG00000139410	4
ENSG00000101204	9
ENSG00000169684	8
ENSG00000162639	3
ENSG00000176087	5
ENSG00000197134	6
ENSG00000091073	4
ENSG00000282379	4
ENSG00000282088	6
ENSG00000175344	6
ENSG00000274542	6
ENSG00000155897	51
ENSG00000141946	3
ENSG00000071462	5
ENSG00000100505	4
ENSG00000160716	9
ENSG00000178473	4
ENSG00000161640	3
ENSG00000151229	3
ENSG00000147432	8
ENSG00000117971	12
ENSG00000135902	7
ENSG00000108556	7
ENSG00000162711	27
ENSG00000196811	7
ENSG00000150455	17
ENSG00000213341	87
ENSG00000161544	5
ENSG00000161031	3
ENSG00000159527	3
ENSG00000166987	4
ENSG00000169258	5
ENSG00000144589	3
ENSG00000276856	9
ENSG00000275835	9
ENSG00000280807	9
ENSG00000157827	8
ENSG00000178235	3
ENSG00000141446	4
ENSG00000162601	4
ENSG00000144278	4
ENSG00000158106	7
ENSG00000170234	5
ENSG00000162739	5
ENSG00000141447	11
ENSG00000021762	5
ENSG00000079156	5
ENSG00000006025	5
ENSG00000091039	5
ENSG00000117859	5
ENSG00000144645	5
ENSG00000144909	5
ENSG00000176194	7
ENSG00000156804	12
ENSG00000110536	5
ENSG00000162104	46
ENSG00000164430	10
ENSG00000174502	4
ENSG00000141698	3
ENSG00000152240	17
ENSG00000147606	4
ENSG00000172006	3
ENSG00000166165	8
ENSG00000101844	2
ENSG00000162600	8
ENSG00000188060	3
ENSG00000144741	3
ENSG00000282739	3
ENSG00000269190	7
ENSG00000282954	7
ENSG00000162654	14
ENSG00000154451	6
ENSG00000114737	8
ENSG00000156928	4
ENSG00000147854	5
ENSG00000105254	3
ENSG00000156853	3
ENSG00000157107	4
ENSG00000240771	12
ENSG00000158865	3
ENSG00000288216	3
ENSG00000159958	7
ENSG00000163072	3
ENSG00000275326	3
ENSG00000004777	7
ENSG00000166166	3
ENSG00000171777	8
ENSG00000104879	3
ENSG00000152932	3
ENSG00000237289	3
ENSG00000223572	3
ENSG00000007520	4
ENSG00000141433	12
ENSG00000131730	3
ENSG00000175643	32
ENSG00000197891	8
ENSG00000101457	9
ENSG00000049167	9
ENSG00000124702	5
ENSG00000153989	11
ENSG00000203667	4
ENSG00000124003	4
ENSG00000166743	7
ENSG00000173207	10
ENSG00000150551	3
ENSG00000164485	4
ENSG00000155961	7
ENSG00000198785	5
ENSG00000116032	5
ENSG00000198860	3
ENSG00000172938	5
ENSG00000110243	13
ENSG00000204822	7
ENSG00000183617	7
ENSG00000163923	41
ENSG00000132622	4
ENSG00000164406	3
ENSG00000171236	3
ENSG00000047365	8
ENSG00000186635	10
ENSG00000135439	4
ENSG00000078549	12
ENSG00000152382	3
ENSG00000175294	3
ENSG00000159445	25
ENSG00000166762	3
ENSG00000164265	3
ENSG00000198574	3
ENSG00000161634	3
ENSG00000127328	11
ENSG00000168004	5
ENSG00000108592	4
ENSG00000112394	4
ENSG00000131386	4
ENSG00000161896	3
ENSG00000131068	5
ENSG00000164691	7
ENSG00000161203	53
ENSG00000106367	16
ENSG00000042753	48
ENSG00000165091	4
ENSG00000149488	4
ENSG00000288474	9
ENSG00000171136	9
ENSG00000288335	13
ENSG00000233608	13
ENSG00000092871	7
ENSG00000177879	4
ENSG00000178338	3
ENSG00000121236	4
ENSG00000016490	3
ENSG00000087274	12
ENSG00000188037	3
ENSG00000114859	3
ENSG00000290147	4
ENSG00000109572	3
ENSG00000073464	3
ENSG00000171365	3
ENSG00000160087	10
ENSG00000163297	5
ENSG00000172551	16
ENSG00000223496	21
ENSG00000172586	7
