gene,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
FGFR2,0.2651973328,0.10235122083049901,0.10074904739999999,0.008698270064,0.03990423948,0.10089878338,0.9941505272123818,0.6283860724285047,5,2,0.4
FGFR3,0.40549929999999995,0.11969862448693888,0.038878661419999995,0.009041991599999999,0.1925780886,0.1925780886,0.5685973389407221,0.7654170640730867,5,2,0.4
FGFR4,0.17679236059999998,0.047034153767798695,0.21400492399999999,0.0027131775599999997,0.003548305936,0.21400492399999999,-0.6811090086390451,2.452785512817011,5,1,0.2
FGFRL1,0.21179331,0.09937519432366414,0.0638168582,0.1201018452,0.0645208498,0.1370230432,0.6013723534479571,0.3423242512146665,5,1,0.2
FKRP,0.2677872908,0.0849009101416025,0.11933541,0.11868188900000001,0.06916966799999999,0.151035774,0.16805859037570353,0.6693342668347584,5,1,0.2
FLRT1,0.0006905990939999999,0.00034695888656979996,0.0,8.698886400000002e-05,0.0,8.698886400000002e-05,0.016918287135635514,0.033681040451398615,5,0,0.0
FLRT2,0.07779867380000001,0.01623439574540676,0.1886652888,0.01136707694,0.2400803674,0.2527569354,-1.0240493900178185,0.9030457687682025,5,0,0.0
FLRT3,0.7590084260000001,0.18909378823534356,0.0272265276,0.00760385176,0.010701086539999998,0.028441748179999997,3.213157209092654,0.9500934385664233,5,5,1.0
FLT1,0.01751771012,0.0075652178318224,0.173428558788,0.07095872140000001,7.053127880000001,7.053127880000001,-6.074828639964851,1.1017158510663312,5,0,0.0
FLT3,0.13806003827,0.029239375295105664,0.00013085014,0.031325830799999996,0.00025803787564,0.031325830799999996,0.12173822037661378,1.3818733804123284,5,1,0.2
FLT3LG,0.0290725122,0.0189744452488135,0.1559795794,0.45809884600000006,0.091659084,0.45809884600000006,-2.5279835475833132,0.548008886511836,5,0,0.0
FLT4,0.0100397311,0.00412514107999742,0.000852226992,0.0103337643,4.318324954,4.318324954,-4.568511878915149,1.806928327522428,5,0,0.0
FLVCR1,0.291132758,0.12506728063580314,0.0698160223,0.145772358,0.10855626060000001,0.17606344000000002,0.41313707573590736,0.41320883882465875,5,1,0.2
FLVCR2,0.0835981912,0.037717662222183215,0.010979010519999999,0.1262138974,0.01150545216,0.1262138974,-0.252878034761658,0.7744327782706684,5,0,0.0
FNDC4,0.0799547978,0.03815104447720008,0.2529029932,0.012405318100000002,0.30234528340000005,0.4177752592,-1.4563581313844483,0.9431065489917515,5,0,0.0
FNDC5,0.016415649679999998,0.008423318688253339,0.0101094762,0.0010970857840000002,0.00648146508,0.01152612808,0.1031578584772183,0.3989885850863947,5,0,0.0
FNDC9,0.0,0.0,0.0,0.00570778764,0.0,0.00570778764,-0.14906368127872335,0.15499298363172775,5,0,0.0
FOLH1,0.006432970260000001,0.00528349118963242,0.02125630512,0.0016786261591999999,0.2602065354,0.2640551552,-1.5559108831897475,1.6643120039270412,5,0,0.0
FOLR1,2.6010677600000003,0.3490877104208515,0.040508166,0.03619327234,0.09469833600000001,0.10029129,3.986871181932109,1.0252606860586657,5,5,1.0
FOLR2,0.0182797717,0.00599204389027852,0.00352092362,0.263898858,0.01505439328,0.263898858,-2.1009460569034504,0.633844571667967,5,0,0.0
FPR1,0.024893037639999997,0.00910904048503932,0.0113613344,0.556600608,0.04457730272,0.556600608,-2.884377520607739,0.7718923118942153,5,0,0.0
FPR2,0.005283632016000001,0.0037901208656002,0.007897048879999998,0.15856208519999998,0.00860534986,0.15856208519999998,-1.829281443960069,0.6852086768894485,5,0,0.0
FPR3,0.013114040789999998,0.0053488478623357595,0.1325017616,0.32594113399999997,0.0108195987,0.32594113399999997,-2.3178795927153772,0.6034031031270073,5,0,0.0
FRAS1,0.0654918854,0.025155672445685957,0.1220173782,0.001947285304,0.00987922714,0.1220173782,-0.49560643377829094,1.108569951152033,5,0,0.0
FREM2,0.16585304939999998,0.06699598776424973,0.10891743772,0.016076365540000002,0.0016242745154600002,0.1107869779,0.7504484203696685,0.5075205284079566,5,0,0.0
FRRS1,0.051525999759999996,0.0189907529871992,0.19650578585999998,0.01252159414,0.008507452959999998,0.19773027155999998,-0.4950966797377667,0.7928518487766273,5,0,0.0
