smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cn[nH]c2)cc(-c2cccs2)c1,CHEMBL6145810,IC50,80.0,7.096910013008056,1,474.63000000000017,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cccs2)c1)c1ccccc1,SARS_Mpro_train
CN(C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)N(C#N)Cc1c(F)cc(Br)cc1F,CHEMBL5562584,IC50,81.0,7.0915149811213505,1,557.3950000000002,1,O=C(NC(Cc1ccccc1)C(=O)NNCc1ccccc1)OCc1ccccc1,SARS_Mpro_train
NCc1c(Cl)cccc1Cl,CHEMBL13305,IC50,81.0,7.0915149811213505,1,176.04599999999996,1,c1ccccc1,SARS_Mpro_train
CC(C)(C)NC(=O)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(F)(F)F)C2(C)C,CHEMBL5426046,IC50,81.1,7.090979145788844,1,518.5330000000004,1,O=C1NCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
CNC(=O)N[C@H](C(=O)N1CC2(CCCCC2)C[C@H]1C(=O)N[C@@H](CCC(C)(F)F)C(=O)C(=O)NC1CC1)C(C)(C)C,CHEMBL5565573,IC50,82.0,7.086186147616283,1,569.6940000000001,1,O=C(CNC(=O)C1CC2(CCCCC2)CN1)C(=O)NC1CC1,SARS_Mpro_train
CC1CC(C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)C3(C)C)C1,CHEMBL5573583,IC50,82.0,7.086186147616283,1,389.49600000000027,1,O=C1NCCC1CCNC(=O)C1C2CC2CN1C(=O)C1CCC1,SARS_Mpro_train
Cc1c(C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)sc2ncc(C(F)(F)F)n12,CHEMBL5867173,Ki,83.0,7.080921907623926,1,512.5580000000002,1,O=C(CNC(=O)c1cn2ccnc2s1)NCCC1CCNC1=O,SARS_Mpro_train
O=c1c2c(O)c(O)c(O)cc2nc(-c2ccccc2)n1-c1ccccc1,CHEMBL5426124,IC50,83.0,7.080921907623926,1,346.34200000000004,1,O=c1c2ccccc2nc(-c2ccccc2)n1-c1ccccc1,SARS_Mpro_train
COc1cccc(C(=O)Oc2cncc(Cl)c2)c1OC,CHEMBL5597314,IC50,84.5,7.073143291050307,1,293.7060000000001,1,O=C(Oc1cccnc1)c1ccccc1,SARS_Mpro_train
O=C(Oc1cncc(Br)c1)c1ccc(Cl)cc1Cl,CHEMBL5596141,IC50,84.5,7.073143291050307,1,346.995,1,O=C(Oc1cccnc1)c1ccccc1,SARS_Mpro_train
CN(C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)N(C#N)Cc1cccc(Br)c1,CHEMBL5560345,IC50,86.0,7.0655015487564325,1,521.4150000000002,1,O=C(NC(Cc1ccccc1)C(=O)NNCc1ccccc1)OCc1ccccc1,SARS_Mpro_train
[O-][S+](Cc1cccnc1)c1nnc(-c2ccc(C(F)(F)F)cc2)o1,CHEMBL5646656,IC50,86.0,7.0655015487564325,1,353.325,1,c1ccc(-c2nnc([SH+]Cc3cccnc3)o2)cc1,SARS_Mpro_train
O=C(CCc1ccccc1)N[C@H](Cc1ccccc1)C(=O)C(=O)NCc1ccccn1,CHEMBL5632173,IC50,86.7,7.06198090252379,1,415.49300000000017,1,O=C(CCc1ccccc1)NC(Cc1ccccc1)C(=O)C(=O)NCc1ccccn1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NN(Cc1c[nH]cn1)C(=O)CCl,CHEMBL5176036,IC50,87.0,7.060480747381382,1,435.91200000000015,1,O=C(CNC(=O)OCc1ccccc1)NNCc1c[nH]cn1,SARS_Mpro_train
CN(C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)N(C#N)Cc1cccc(Cl)c1,CHEMBL5555320,IC50,88.0,7.055517327849832,1,476.96400000000017,1,O=C(NC(Cc1ccccc1)C(=O)NNCc1ccccc1)OCc1ccccc1,SARS_Mpro_train
CSc1nc2ccccc2n1C(=O)c1ccc(C)c(F)c1,CHEMBL5612841,IC50,88.55,7.0528696677765055,2,300.358,1,O=C(c1ccccc1)n1cnc2ccccc21,SARS_Mpro_train
CC[C@@H](C(=O)Nc1cc(NC2COC2)ccc1C)n1cc(Br)cc2nc(SCc3ccc(F)cc3)nc1-2,CHEMBL6149861,IC50,90.0,7.045757490560675,1,584.5150000000001,1,O=C(Cn1cccc2nc(SCc3ccccc3)nc1-2)Nc1cccc(NC2COC2)c1,SARS_Mpro_train
COCCn1cc(-c2cc(-c3cnn(CC(N)=O)c3)cc([C@@H](C)NC(=O)c3cc(OCCN(C)C)ccc3C)c2)cn1,CHEMBL6145467,IC50,90.0,7.045757490560675,1,573.6980000000002,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cn[nH]c2)c1)c1ccccc1,SARS_Mpro_train
